Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_percent,3P_percent,FT_percent,Pace,eFG_percent,TOV_percent,ORB_percent,FT/FGA,ORtg
33,1991~92,NBA,27.2,6~7,209,1107,535310,91371,193391,5587,16898,44826,59075,31787,64893,96680,54192,19131,12216,34430,49227,233155,0.472,0.331,0.759,96.6,0.487,13.6,32.9,0.232,108.2
34,1990~91,NBA,27.2,6~7,209,1107,535260,91551,193059,5055,15812,47213,61736,30959,64817,95776,54782,19014,11624,35515,51304,235370,0.474,0.32,0.765,97.8,0.487,13.9,32.3,0.245,107.9
35,1989~90,NBA,27.1,6~7,208,1107,534760,91914,192951,4829,14608,48225,63118,30633,64885,95518,55023,18881,11207,35555,51478,236882,0.476,0.331,0.764,98.3,0.489,13.9,32.1,0.25,108.1
36,1988~89,NBA,26.9,6~7,208,1025,495150,87060,182385,4332,13431,45345,59067,29724,60307,90031,52431,18619,10949,35312,48504,223797,0.477,0.323,0.768,100.6,0.489,14.5,33,0.249,107.8
37,1987~88,NBA,26.9,6~7,209,943,455040,79473,165441,2979,9421,42068,54933,26834,54994,81828,48599,16055,10160,31563,45461,203993,0.48,0.316,0.766,99.6,0.489,14.3,32.8,0.254,108
38,1986~87,NBA,26.6,6~7,209,943,455590,80422,167455,2687,8913,43807,57449,27725,55295,83020,48998,16264,10411,32040,46277,207338,0.48,0.301,0.763,100.8,0.488,14.3,33.4,0.262,108.3
39,1985~86,NBA,26.8,6~7,208,943,455640,81465,167166,1774,6293,43171,57079,26661,55500,82161,49065,16576,9910,33645,47543,207875,0.487,0.282,0.756,102.1,0.493,14.9,32.4,0.258,107.2
40,1984~85,NBA,26.4,6~7,207,943,455340,82532,168048,1671,5917,42306,55381,26999,55009,82008,49515,16122,10019,33694,47036,209041,0.491,0.282,0.764,102.1,0.496,14.9,32.9,0.252,107.9
41,1983~84,NBA,26.4,6~7,206,943,456490,82007,166638,1120,4484,42534,55992,26772,54378,81150,49397,16041,10004,33755,48573,207668,0.492,0.25,0.76,101.4,0.495,15,33,0.255,107.6
42,1982~83,NBA,26.1,6~7,205,943,455090,82087,169098,1011,4248,39473,53336,27970,55883,83853,48862,16778,10566,36038,48373,204658,0.485,0.238,0.74,103.1,0.488,15.8,33.4,0.233,104.7
43,1981~82,NBA,26.2,6~7,205,943,455690,81732,166418,1129,4308,40183,53889,27039,54948,81987,47438,16107,10131,33435,49352,204776,0.491,0.262,0.746,100.9,0.495,15,33,0.241,106.9
44,1980~81,NBA,26.2,6~7,205,943,455340,81025,166769,936,3815,40900,54481,27437,54573,82010,48034,16964,10036,35354,47265,203886,0.486,0.245,0.751,101.8,0.489,15.6,33.5,0.245,105.5
45,1979~80,NBA,26.4,6~6,204,902,436260,78735,163521,1403,5003,38366,50212,27165,53900,81065,46567,16993,9561,34166,43952,197239,0.481,0.28,0.764,103.1,0.486,15.5,33.5,0.235,105.3
46,1978~79,NBA,26.3,6~6,203,902,434960,80316,165473,,,38424,51070,26780,54784,81564,46466,16486,9673,35710,45680,199056,0.485,,0.752,105.8,0.485,16,32.8,0.232,103.8
47,1977~78,NBA,26.2,6~6,204,902,436160,78565,167536,,,38532,51241,27054,57930,84984,45187,17324,9255,36217,45389,195662,0.469,,0.752,106.7,0.469,16,31.8,0.23,100.9
48,1976~77,NBA,26.2,6~6,204,902,434810,77236,166027,,,37601,50043,26983,57903,84886,43036,16906,9155,37107,45472,192073,0.465,,0.751,106.5,0.465,16.5,31.8,0.226,99.5
49,1975~76,NBA,26.5,6~6,204,738,356340,62069,135379,,,29875,39763,21191,48769,69960,33949,13171,6548,29185,36656,154013,0.458,,0.751,105.5,0.458,16,30.3,0.221,98.3
50,1974~75,NBA,26.7,6~6,203,738,356340,61528,134514,,,28429,37164,20946,48522,69468,35158,13002,6286,29292,35908,151485,0.457,,0.765,104.5,0.457,16.3,30.2,0.211,97.7
51,1973~74,NBA,26.9,6~6,205,697,335910,60054,130850,,,27294,35392,20532,46698,67230,34336,12128,6556,28998,33195,147402,0.459,,0.771,107.8,0.459,16.5,30.5,0.209,97.7
52,1972~73,NBA,26.7,6~6,205,697,335860,61632,135052,,,26719,35239,,,70555,35123,,,28114,31774,149983,0.456,,0.758,,0.456,15.7,,0.198,
53,1971~72,NBA,26.6,6~6,206,697,336160,60543,133152,,,32518,43446,,,71299,33526,,,27316,32967,153604,0.455,,0.748,,0.455,15.2,,0.244,
54,1970~71,NBA,26.6,6~6,205,697,336010,61399,136642,,,33904,45526,,,74059,33843,,,27183,33974,156702,0.449,,0.745,,0.449,14.8,,0.248,
55,1969~70,NBA,26.8,6~6,205,574,277370,52441,114059,,,29085,38708,,,60697,28379,,,1726,28823,133967,0.46,,0.751,,0.46,1.3,,0.255,
56,1968~69,NBA,26.9,6~6,207,574,277070,50129,113692,,,28680,40189,,,65324,26568,,,1515,29237,128938,0.441,,0.714,,0.441,1.1,,0.252,
57,1967~68,NBA,26.8,6~6,206,492,237560,44247,99194,,,26247,36474,,,65166,22478,,,,25898,114741,0.446,,0.72,,0.446,,,0.265,
58,1966~67,NBA,26.6,6~6,206,405,195450,36826,83503,,,21481,29357,,,54536,18174,,,,21244,95133,0.441,,0.732,,0.441,,,0.257,
59,1965~66,NBA,26.6,6~6,207,360,173150,31914,73758,,,19337,26609,,,49118,16463,,,,18864,83165,0.433,,0.727,,0.433,,,0.262,
60,1964~65,NBA,26.4,6~6,208,360,174000,30595,71882,,,18451,25604,,,48433,15087,,,,18682,79641,0.426,,0.721,,0.426,,,0.257,
61,1963~64,NBA,26.4,6~6,207,360,,30863,71333,,,18195,25189,,,47423,15414,,,,19286,79921,0.433,,0.722,,0.433,,,0.255,
62,1962~63,NBA,26.3,6~6,205,360,,32112,72887,,,18769,25827,,,48044,16342,,,,18694,82993,0.441,,0.727,,0.441,,,0.258,
63,1961~62,NBA,26.4,6~5,205,360,,33048,77570,,,19414,26686,,,51415,17231,,,,18620,85510,0.426,,0.727,,0.426,,,0.25,
64,1960~61,NBA,26.4,6~5,205,316,,28669,69134,,,17316,23619,,,46314,15276,,,,16965,74654,0.415,,0.733,,0.415,,,0.25,
65,1959~60,NBA,26.5,6~5,204,300,,26703,65204,,,15794,21501,,,44104,13532,,,,15338,69200,0.41,,0.735,,0.41,,,0.242,
66,1958~59,NBA,26.4,6~5,202,288,,23270,58943,,,15808,20909,,,40343,11292,,,,14952,62348,0.395,,0.756,,0.395,,,0.268,
67,1957~58,NBA,26.8,6~5,202,288,,22480,58666,,,16463,22054,,,41279,11311,,,,14670,61423,0.383,,0.746,,0.383,,,0.281,
68,1956~57,NBA,26.2,6~5,201,288,,20699,54472,,,15981,21280,,,35948,10870,,,,14460,57379,0.38,,0.751,,0.38,,,0.293,
69,1955~56,NBA,26.3,6~5,200,288,,20354,52641,,,16331,21914,,,34616,13976,,,,15180,57039,0.387,,0.745,,0.387,,,0.31,
70,1954~55,NBA,26.7,6~5,197,288,,19173,49765,,,15262,20691,,,32292,13615,,,,14277,53608,0.385,,0.738,,0.385,,,0.307,
71,1953~54,NBA,26.4,6~4,197,324,,18182,48834,,,15175,21411,,,32987,13185,,,,16433,51539,0.372,,0.709,,0.372,,,0.311,
72,1952~53,NBA,26.4,6~4,196,351,,20011,54129,,,18038,25195,,,36168,14744,,,,20228,58060,0.37,,0.716,,0.37,,,0.333,
73,1951~52,NBA,26.3,6~4,195,330,,19559,53347,,,16124,21941,,,35977,14457,,,,17751,55242,0.367,,0.735,,0.367,,,0.302,
74,1950~51,NBA,,,,354,,21093,59166,,,17328,23626,,,35019,14833,,,,19139,59514,0.357,,0.733,,0.357,,,0.293,
75,1949~50,NBA,,,,561,,31671,93221,,,26464,37045,,,,22005,,,,30264,89806,0.34,,0.714,,0.34,,,0.284,
76,1948~49,BAA,,,,360,,20879,63836,,,15851,22562,,,,13382,,,,18440,57609,0.327,,0.703,,0.327,,,0.248,
77,1947~48,BAA,,,,192,,10454,36854,,,6991,10356,,,,2697,,,,8532,27899,0.284,,0.675,,0.284,,,0.19,
78,1946~47,BAA,,,,331,,17175,61509,,,10511,16397,,,,4568,,,,13796,44861,0.279,,0.641,,0.279,,,0.171,
